"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"CGBD","Carlyle Secured Lending Inc","$11.92","636,500","Yes"
"CGEM","Cullinan Therapeutics Inc","$11.59","684,180","Yes"
"CGNT","Cognyte Software Ltd","$7.06","493,930","Yes"
"CHPT","ChargePoint Holdings Inc","$5.90","562,520","Yes"
"CHWY","Chewy Inc","$24.23","8,836,810","Yes"
"CHYM","Chime Financial Inc","$19.69","3,275,080","Yes"
"CIFR","Cipher Mining Inc","$16.42","36,398,140","Yes"
"CIM","Chimera Investment Corp","$14.08","1,146,460","Yes"
"CION","Cion Investment Corp","$8.64","444,190","Yes"
"CLB","Core Laboratories Inc","$18.56","450,230","Yes"
"CLBK","Columbia Financial Inc","$18.41","425,600","Yes"
"CLBT","Cellebrite DI Ltd","$14.64","2,626,090","Yes"
"CLDX","Celldex Therapeutics Inc","$23.57","637,300","Yes"
"CLF","Cleveland-Cliffs Inc","$10.38","25,269,570","Yes"
"CLPT","Clearpoint Neuro Inc","$13.04","585,540","Yes"
"CLSK","CleanSpark Inc","$9.31","32,204,220","Yes"
"CLW","Clearwater Paper Corp","$17.59","253,390","Yes"
"CLYM","Climb Bio Inc","$5.67","504,020","Yes"
"CMCO","Columbus McKinnon Corp","$20.33","715,550","Yes"
"CMP","Compass Minerals International Inc","$23.99","655,090","Yes"
"CMPS","Compass Pathways PLC","$5.81","1,291,140","Yes"
"CMPX","Compass Therapeutics Inc.","$6.34","2,035,280","Yes"
"CMRE","Costamare Inc","$16.94","560,340","Yes"
"CMTL","Comtech Telecommunications Corp","$5.86","328,980","Yes"
"CNH","CNH Industrial NV","$12.75","13,927,720","Yes"
"CNK","Cinemark Holdings Inc","$24.88","2,563,660","Yes"
"CNNE","Cannae Holdings Inc","$13.29","493,510","Yes"
"CNTA","Centessa Pharmaceuticals PLC","$24.71","1,210,330","Yes"
"CODI","Compass Diversified Holdings","$6.39","1,086,930","Yes"
"COLD","Americold Realty Trust Inc","$12.36","4,739,880","Yes"
"COMP","Compass Inc","$10.41","22,950,020","Yes"
"CON","Concentra Group Holdings Parent Inc","$23.54","1,462,700","Yes"
"CORZ","Core Scientific Inc","$17.84","12,324,230","Yes"
"COUR","Coursera Inc","$5.92","7,165,840","Yes"
"CPNG","Coupang Inc","$16.98","29,602,240","Yes"
"CPRI","Capri Holdings Ltd","$20.42","5,074,400","Yes"
"CPRX","Catalyst Pharmaceuticals Inc","$23.60","1,265,910","Yes"
"CRGY","Crescent Energy Co","$10.23","5,674,230","Yes"
"CRK","Comstock Resources Inc","$19.02","3,218,620","Yes"
"CRMD","CorMedix Inc","$7.34","2,030,090","Yes"
"CRML","Critical Metals Corp","$9.24","15,959,500","Yes"
"CRNC","Cerence Inc","$8.26","2,024,580","Yes"
"CRSR","Corsair Gaming Inc","$6.79","1,765,790","Yes"
"CRTO","Criteo SA","$17.81","653,250","Yes"
"CRVS","Corvus Pharmaceuticals Inc","$18.66","1,680,990","Yes"
"CSIQ","Canadian Solar Inc","$19.39","2,361,350","Yes"
"CSTM","Constellium SE","$23.29","1,698,210","Yes"
"CSWC","Capital Southwest Corp","$22.81","665,950","Yes"
"CTLP","Cantaloupe Inc","$10.22","2,137,410","Yes"
"CTMX","CytomX Therapeutics Inc","$5.32","3,517,020","Yes"
"CTNM","Contineum Therapeutics Inc","$14.44","276,920","Yes"
"CTO","CTO Realty Growth Inc","$18.93","268,440","Yes"
"CTOS","Custom Truck One Source Inc","$7.26","1,034,520","Yes"
"CUZ","Cousins Properties Inc","$22.46","2,993,660","Yes"
"CVBF","CVB Financial Corp","$20.55","1,429,710","Yes"
"CVE","Cenovus Energy Inc","$21.96","14,674,720","Yes"
"CVI","CVR Energy Inc","$23.17","989,770","Yes"
"CWAN","Clearwater Analytics Holdings Inc","$23.15","15,421,960","Yes"
"CWH","Camping World Holdings Inc","$11.48","2,248,000","Yes"
"CWK","Cushman & Wakefield Ltd","$12.89","2,945,750","Yes"
"CX","Cemex SAB de CV","$12.57","7,976,290","Yes"
"CXM","Sprinklr Inc","$5.49","3,233,540","Yes"
"CXW","CoreCivic Inc","$18.92","1,089,300","Yes"
"CYRX","Cryoport Inc","$8.24","372,840","Yes"
"CZR","Caesars Entertainment Inc","$18.14","7,461,950","Yes"
"DAVA","Endava PLC","$5.10","499,770","Yes"
"DAWN","Day One Biopharmaceuticals Inc","$11.35","1,988,930","Yes"
"DBI","Designer Brands Inc","$7.19","898,660","Yes"
"DBRG","DigitalBridge Group Inc","$15.41","4,162,300","Yes"
"DBX","Dropbox Inc","$24.53","4,936,770","Yes"
"DC","Dakota Gold Corp","$5.84","2,279,400","Yes"
"DCH","Dauch Corp","$7.25","14,397,300","Yes"
"DCTH","Delcath Systems Inc","$9.12","590,420","Yes"
"DEA","Easterly Government Properties Inc","$23.96","372,300","Yes"
"DEI","Douglas Emmett Inc","$10.11","3,248,710","Yes"
"DFH","Dream Finders Homes Inc","$21.05","466,490","Yes"
"DFTX","Definium Therapeutics Inc","$15.75","1,462,410","Yes"
"DHC","Diversified Healthcare Trust","$6.55","1,554,120","Yes"
"DHT","DHT Holdings Inc","$15.91","3,037,770","Yes"
"DJT","Trump Media & Technology Group Corp","$10.98","3,986,250","Yes"
"DKNG","Draftkings Inc","$21.76","18,076,320","Yes"
"DLO","Dlocal Ltd","$11.97","1,556,000","Yes"
"DNA","Ginkgo Bioworks Holdings Inc","$9.29","1,501,170","Yes"
"DNLI","Denali Therapeutics Inc","$18.77","1,729,100","Yes"
"DNOW","DNOW Inc","$16.43","2,326,950","Yes"
"DOC","Healthpeak Properties Inc","$16.70","12,381,810","Yes"
"DOLE","Dole PLC","$15.91","784,650","Yes"
"DQ","Daqo New Energy Corp","$24.88","725,750","Yes"
"DRH","Diamondrock Hospitality Co","$9.87","3,302,970","Yes"
"DRTS","Alpha Tau Medical Ltd","$7.23","317,340","Yes"
"DRVN","Driven Brands Holdings Inc","$16.84","1,090,970","Yes"
"DUOT","Duos Technologies Group Inc","$8.78","284,810","Yes"
"DV","DoubleVerify Holdings Inc","$9.45","3,172,020","Yes"
"DX","Dynex Capital Inc","$14.05","6,312,600","Yes"
"DXC","DXC Technology Co","$13.39","3,673,470","Yes"
"DYN","Dyne Therapeutics Inc","$15.54","1,832,850","Yes"
"EAF","GrafTech International Ltd","$6.67","886,900","Yes"
"EBC","Eastern Bankshares Inc","$21.61","2,465,380","Yes"
"EBS","Emergent BioSolutions Inc","$10.83","643,340","Yes"
"EC","Ecopetrol SA","$11.90","3,062,520","Yes"
"ECVT","Ecovyst Inc","$11.62","1,332,120","Yes"
"EFC","Ellington Financial Inc","$12.94","2,626,220","Yes"
"EGAN","eGain Corp","$9.71","302,260","Yes"
"EH","EHang Holdings Ltd","$11.58","665,890","Yes"
"EHAB","Enhabit Inc","$11.16","575,930","Yes"
"EMBC","Embecta Corp","$10.17","1,116,720","Yes"
"ENOV","Enovis Corp","$21.77","1,096,910","Yes"
"ENR","Energizer Holdings Inc","$22.77","1,896,050","Yes"
"ENVX","Enovix Corp","$5.92","7,956,050","Yes"
"EOSE","Eos Energy Enterprises Inc","$10.79","20,775,140","Yes"
"EPC","Edgewell Personal Care Co","$21.89","878,860","Yes"
"EQX","Equinox Gold Corp","$15.80","11,959,200","Yes"
"ERAS","Erasca Inc","$12.00","4,677,240","Yes"
"ERIC","Telefonaktiebolaget LM Ericsson","$11.07","7,752,990","Yes"
"ERII","Energy Recovery Inc","$15.60","291,490","Yes"
"ESRT","Empire State Realty Trust Inc","$6.27","1,289,650","Yes"
"ET","Energy Transfer LP","$18.75","16,003,730","Yes"
"ETD","Ethan Allen Interiors Inc","$23.85","426,770","Yes"
"ETON","Eton Pharmaceuticals Inc","$17.07","253,680","Yes"
"EVER","EverQuote Inc","$14.66","1,371,510","Yes"
"EVLV","Evolv Technologies Holdings Inc","$5.85","3,060,560","Yes"
"EWCZ","European Wax Center Inc","$5.71","2,105,640","Yes"
"EXK","Endeavour Silver Corp","$11.75","14,345,060","Yes"
"EXPI","eXp World Holdings Inc","$7.55","999,710","Yes"
"EXTR","Extreme Networks Inc","$14.46","1,924,730","Yes"
"EYPT","EyePoint Inc","$12.94","1,281,270","Yes"
"EZPW","EZCORP Inc","$24.31","1,530,040","Yes"
"F","Ford Motor Co","$14.12","80,710,710","Yes"
"FA","First Advantage Corp","$9.49","1,245,770","Yes"
"FBP","First BanCorp","$22.43","1,271,120","Yes"
"FCEL","Fuelcell Energy Inc","$7.22","1,843,740","Yes"
"FCF","First Commonwealth Financial Corp","$18.37","916,880","Yes"
"FCPT","Four Corners Property Trust Inc","$24.37","838,990","Yes"
"FDMT","4D Molecular Therapeutics Inc","$9.35","796,890","Yes"
"FFIC","Flushing Financial Corp","$16.67","369,600","Yes"
"FFWM","First Foundation Inc","$6.24","830,070","Yes"
"FHN","First Horizon Corp","$24.56","8,204,420","Yes"
"FIG","Figma Inc","$22.53","16,858,160","Yes"
"FIGS","Figs Inc","$10.25","2,850,430","Yes"
"FINV","FinVolution Group","$5.54","1,291,140","Yes"
"FIP","Ftai Infrastructure Inc","$6.00","1,101,390","Yes"
"FIVN","Five9 Inc","$16.75","2,661,010","Yes"
"FJET","Starfighters Space Inc","$5.12","745,370","Yes"
"FLG","Flagstar Bank NA","$14.18","6,214,510","Yes"
"FLNC","Fluence Energy Inc","$18.46","9,380,010","Yes"
"FLO","Flowers Foods Inc","$10.36","4,408,380","Yes"
"FLY","Firefly Aerospace Inc","$19.30","3,476,560","Yes"
"FLYW","Flywire Corp","$10.97","1,671,690","Yes"
"FMC","FMC Corp","$14.34","7,497,260","Yes"
"FMNB","Farmers National Banc Corp","$13.52","574,380","Yes"
"FNB","FNB Corp","$18.07","6,420,550","Yes"
"FOLD","Amicus Therapeutics Inc","$14.31","7,785,270","Yes"
