"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"ULCC","Frontier Group Holdings Inc","$5.35","4,404,070","Yes"
"UMAC","Unusual Machines Inc","$11.92","2,458,240","Yes"
"UMC","United Microelectronics Corp","$10.42","11,546,910","Yes"
"UMH","UMH Properties Inc","$16.09","450,020","Yes"
"UNCY","Unicycive Therapeutics Inc","$6.08","676,560","Yes"
"UNIT","Uniti Group Inc (Delaware)","$8.36","2,379,800","Yes"
"UPB","Upstream Bio Inc","$8.75","1,787,210","Yes"
"UPBD","Upbound Group Inc","$20.31","652,100","Yes"
"UPWK","Upwork Inc","$13.23","6,724,390","Yes"
"URGN","Urogen Pharma Ltd","$20.10","618,500","Yes"
"USAR","USA Rare Earth Inc","$19.40","27,004,120","Yes"
"USAU","US Gold Corp","$15.61","394,940","Yes"
"UTZ","UTZ Brands Inc","$9.35","1,878,150","Yes"
"UUUU","Energy Fuels Inc","$20.72","15,623,430","Yes"
"VALE","Vale SA","$16.65","47,900,220","Yes"
"VERX","Vertex Inc","$12.75","4,029,230","Yes"
"VFC","VF Corp","$20.30","7,585,140","Yes"
"VG","Venture Global Inc","$9.36","10,429,020","Yes"
"VIPS","Vipshop Holdings Ltd","$17.54","1,928,080","Yes"
"VIR","Vir Biotechnology Inc","$7.47","1,540,520","Yes"
"VIV","Telefonica Brasil SA","$15.72","1,016,730","Yes"
"VLRS","Controladora Vuela Compania de Aviacion SAB de CV","$10.07","761,020","Yes"
"VLY","Valley National Bancorp","$13.49","10,506,670","Yes"
"VNDA","Vanda Pharmaceuticals Inc","$6.09","1,249,310","Yes"
"VNET","VNET Group Inc","$13.80","7,138,400","Yes"
"VOD","Vodafone Group PLC","$15.57","7,299,500","Yes"
"VOR","Vor Biopharma Inc","$12.78","858,220","Yes"
"VRE","Veris Residential Inc","$16.63","1,120,060","Yes"
"VREX","Varex Imaging Corp","$13.52","511,620","Yes"
"VRRM","Verra Mobility Corp","$18.40","1,863,610","Yes"
"VSH","Vishay Intertechnology Inc","$18.88","3,304,000","Yes"
"VSTM","Verastem Inc","$5.84","1,653,770","Yes"
"VSTS","Vestis Corp","$7.70","2,864,720","Yes"
"VTRS","Viatris Inc","$15.77","11,937,000","Yes"
"VTS","Vitesse Energy Inc","$21.91","363,070","Yes"
"VTYX","Ventyx Biosciences Inc","$13.97","2,580,470","Yes"
"VYX","NCR Voyix Corp","$9.49","1,942,120","Yes"
"WAY","Waystar Holding Corp","$22.41","2,676,410","Yes"
"WB","Weibo Corp","$10.01","1,364,670","Yes"
"WBTN","Webtoon Entertainment Inc","$10.61","424,780","Yes"
"WDS","Woodside Energy Group Ltd","$18.62","874,960","Yes"
"WEAV","Weave Communications Inc","$5.60","2,715,640","Yes"
"WEN","Wendy's Co","$7.48","9,943,420","Yes"
"WEST","Westrock Coffee Co","$5.01","320,460","Yes"
"WLTH","Wealthfront Corp","$7.77","1,071,740","Yes"
"WNC","Wabash National Corp","$11.86","1,051,340","Yes"
"WOLF","Wolfspeed Inc","$17.74","2,741,390","Yes"
"WPP","WPP PLC","$18.76","694,050","Yes"
"WRBY","Warby Parker Inc","$22.46","3,131,830","Yes"
"WRD","WeRide Inc","$7.57","4,744,240","Yes"
"WSC","WillScot Holdings Corp","$21.22","1,724,760","Yes"
"WT","WisdomTree Inc","$16.36","4,750,940","Yes"
"WTTR","Select Water Solutions Inc","$12.82","841,520","Yes"
"WU","Western Union Co","$9.60","9,850,140","Yes"
"WULF","Terawulf Inc","$15.91","46,736,940","Yes"
"WVE","WAVE Life Sciences Ltd","$12.68","2,549,860","Yes"
"WW","WW International Inc","$23.22","339,680","Yes"
"WWW","Wolverine World Wide Inc","$17.61","1,016,370","Yes"
"WYFI","WhiteFiber Inc","$18.19","1,099,940","Yes"
"XERS","Xeris Biopharma Holdings Inc","$6.82","1,314,690","Yes"
"XHR","Xenia Hotels & Resorts Inc","$15.73","609,490","Yes"
"XIFR","XPLR Infrastructure LP","$10.79","2,312,320","Yes"
"XNCR","Xencor Inc","$11.59","512,440","Yes"
"XNET","Xunlei Ltd","$5.79","288,050","Yes"
"XOMA","Xoma Royalty Corp","$24.01","263,380","Yes"
"XP","XP Inc","$19.87","6,933,350","Yes"
"XPER","Xperi Inc","$5.46","478,890","Yes"
"XPEV","Xpeng Inc","$17.94","7,400,690","Yes"
"XPOF","Xponential Fitness Inc","$8.30","454,620","Yes"
"XPRO","Expro Group Holdings NV","$16.33","825,690","Yes"
"XRAY","DENTSPLY SIRONA Inc","$12.95","4,699,070","Yes"
"XXI","Twenty One Capital Inc","$6.40","1,140,040","Yes"
"YELP","Yelp Inc","$20.98","1,632,620","Yes"
"YEXT","Yext Inc","$5.57","3,350,570","Yes"
"YMM","Full Truck Alliance Co Ltd","$9.48","6,088,140","Yes"
"ZETA","Zeta Global Holdings Corp","$15.46","10,098,580","Yes"
"ZGN","Ermenegildo Zegna NV","$11.04","799,830","Yes"
"ZIM","ZIM Integrated Shipping Services Ltd","$22.20","2,440,790","Yes"
"ZLAB","Zai Lab Ltd","$20.03","840,880","Yes"
"ZTO","ZTO Express (Cayman) Inc","$24.66","2,797,490","Yes"
"ZURA","Zura Bio Ltd","$6.21","443,360","Yes"
"ZVRA","Zevra Therapeutics Inc","$8.50","771,390","Yes"
"ZYME","Zymeworks Inc","$22.60","549,220","Yes"
