Symbol,Description,Price,Market Capitalization,Optionable Stocks,Average Volume (10 Day),Beta
CHRW,CH Robinson Worldwide Inc,$176.01,$21B (Mid),Yes,"4,156,240",0.92
CHTR,Charter Communications Inc,$239.09,$30B (Mid),Yes,"2,524,560",1.0
CI,Cigna Group,$291.44,$77B (Large),Yes,"2,266,380",0.27
CIEN,Ciena Corp,$303.92,$43B (Large),Yes,"6,414,910",1.1
CINF,Cincinnati Financial Corp,$162.77,$25B (Mid),Yes,"786,960",0.64
CLH,Clean Harbors Inc,$273.82,$15B (Mid),Yes,"482,220",0.94
CLS,Celestica Inc,$280.66,$32B (Mid),Yes,"3,421,610",1.88
CLX,Clorox Co,$125.94,$15B (Mid),Yes,"2,550,470",0.58
CME,CME Group Inc,$303.07,$109B (Large),Yes,"2,642,740",0.27
CMI,Cummins Inc,$601.01,$83B (Large),Yes,"1,442,490",1.11
CNI,Canadian National Railway Co,$107.60,$66B (Large),Yes,"2,172,490",0.91
COF,Capital One Financial Corp,$207.37,$130B (Large),Yes,"5,076,020",1.13
COHR,Coherent Corp,$217.23,$41B (Mid),Yes,"7,482,000",1.86
COIN,Coinbase Global Inc,$164.32,$43B (Large),Yes,"17,668,690",3.72
COKE,Coca-Cola Consolidated Inc,$161.91,$11B (Mid),Yes,"431,990",0.64
COP,ConocoPhillips,$111.43,$137B (Large),Yes,"8,435,680",0.28
COR,Cencora Inc,$360.83,$70B (Large),Yes,"1,670,480",0.69
COST,Costco Wholesale Corp,"$1,018.48",$452B (Large),Yes,"2,443,540",1.0
CPA,Copa Holdings SA,$145.87,$6B (Small),Yes,"419,140",0.86
CPAY,Corpay Inc,$337.12,$24B (Mid),Yes,"999,110",0.79
CPT,Camden Property Trust,$108.53,$11B (Mid),Yes,"1,579,830",0.83
CRDO,Credo Technology Group Holding Ltd,$121.44,$22B (Mid),Yes,"9,153,810",2.66
CRH,CRH PLC,$125.97,$84B (Large),Yes,"4,422,060",1.17
CRL,Charles River Laboratories International Inc,$161.35,$8B (Mid),Yes,"1,226,110",1.66
CRM,Salesforce Inc,$189.72,$178B (Large),Yes,"16,029,110",1.29
CRS,Carpenter Technology Corp,$379.80,$19B (Mid),Yes,"1,000,730",1.23
CRUS,Cirrus Logic Inc,$144.63,$7B (Small),Yes,"1,009,940",1.11
CRWD,CrowdStrike Holdings Inc,$429.64,$108B (Large),Yes,"3,709,520",1.04
CSL,Carlisle Companies Inc,$409.04,$17B (Mid),Yes,"738,970",0.89
CTAS,Cintas Corp,$193.44,$77B (Large),Yes,"2,193,280",0.95
CVCO,Cavco Industries Inc,$590.38,$5B (Small),Yes,"262,440",1.26
CVNA,Carvana Co,$342.87,$75B (Large),Yes,"3,820,240",3.6
CVX,Chevron Corp,$183.74,$364B (Large),Yes,"11,789,720",0.66
CW,Curtiss-Wright Corp,$684.22,$25B (Mid),Yes,"306,010",0.92
CWST,Casella Waste Systems Inc,$103.72,$7B (Small),Yes,"595,320",0.78
DASH,DoorDash Inc,$160.34,$69B (Large),Yes,"6,205,880",1.84
DAVE,Dave Inc,$177.28,$2B (Small),Yes,"560,730",3.87
DCI,Donaldson Company Inc,$109.46,$13B (Mid),Yes,"796,880",0.99
DDOG,Datadog Inc,$125.20,$44B (Large),Yes,"8,313,210",1.29
DE,Deere & Co,$602.92,$163B (Large),Yes,"1,859,710",0.97
DECK,Deckers Outdoor Corp,$115.73,$16B (Mid),Yes,"2,849,510",1.15
DELL,Dell Technologies Inc,$117.49,$78B (Large),Yes,"8,379,450",1.0
DG,Dollar General Corp,$153.84,$34B (Mid),Yes,"2,739,540",0.24
DGX,Quest Diagnostics Inc,$206.87,$23B (Mid),Yes,"1,457,530",0.65
DHI,D.R. Horton Inc,$167.78,$49B (Large),Yes,"3,414,050",1.42
DHR,Danaher Corp,$212.58,$150B (Large),Yes,"4,435,840",0.93
DIS,Walt Disney Co,$105.45,$187B (Large),Yes,"17,351,190",1.42
DKS,DICK'S Sporting Goods Inc,$201.25,$18B (Mid),Yes,"1,080,710",1.24
DLR,Digital Realty Trust Inc,$180.97,$62B (Large),Yes,"2,447,980",1.12
DLTR,Dollar Tree Inc,$126.06,$25B (Mid),Yes,"2,836,630",0.73
DOV,Dover Corp,$231.63,$32B (Mid),Yes,"1,652,660",1.25
DPZ,Domino's Pizza Inc,$375.50,$13B (Mid),Yes,"987,760",1.18
DRI,Darden Restaurants Inc,$211.50,$24B (Mid),Yes,"1,362,520",0.6
DTE,DTE Energy Co,$144.94,$30B (Mid),Yes,"1,716,520",0.48
DTM,DT Midstream Inc,$133.21,$14B (Mid),Yes,"689,050",0.78
DUK,Duke Energy Corp,$128.20,$100B (Large),Yes,"5,230,060",0.5
DUOL,Duolingo Inc,$112.57,$5B (Small),Yes,"3,218,820",0.89
DVA,DaVita Inc,$148.95,$10B (Mid),Yes,"2,124,800",0.92
DY,Dycom Industries Inc,$427.48,$13B (Mid),Yes,"493,790",1.33
EA,Electronic Arts Inc,$200.62,$50B (Large),Yes,"4,426,530",0.75
EAT,Brinker International Inc,$161.07,$7B (Small),Yes,"1,299,460",1.33
ECL,Ecolab Inc,$299.17,$85B (Large),Yes,"1,542,240",0.97
ED,Consolidated Edison Inc,$113.72,$41B (Mid),Yes,"2,010,880",0.37
EFX,Equifax Inc,$192.80,$23B (Mid),Yes,"3,119,950",1.56
EG,Everest Group Ltd,$338.03,$14B (Mid),Yes,"487,120",0.33
EGP,Eastgroup Properties Inc,$190.92,$10B (Mid),Yes,"485,350",1.11
EHC,Encompass Health Corp,$110.14,$11B (Mid),Yes,"2,092,890",0.71
EL,Estee Lauder Companies Inc,$108.24,$39B (Mid),Yes,"6,299,890",1.11
ELV,Elevance Health Inc,$346.80,$77B (Large),Yes,"1,722,450",0.5
EME,EMCOR Group Inc,$800.82,$36B (Mid),Yes,"388,900",1.14
EMR,Emerson Electric Co,$148.13,$83B (Large),Yes,"5,707,240",1.24
ENS,EnerSys,$179.20,$7B (Small),Yes,"733,220",1.1
ENSG,Ensign Group Inc,$213.34,$12B (Mid),Yes,"553,450",0.82
ENTG,Entegris Inc,$131.43,$20B (Mid),Yes,"4,408,020",1.29
ENVA,Enova International Inc,$149.12,$4B (Small),Yes,"442,600",1.23
EOG,EOG Resources Inc,$120.73,$66B (Large),Yes,"5,172,160",0.44
EPAM,Epam Systems Inc,$166.37,$9B (Mid),Yes,"1,304,830",1.75
EQIX,Equinix Inc,$956.19,$94B (Large),Yes,"818,380",1.03
ESAB,ESAB Corp,$134.82,$8B (Mid),Yes,"780,250",1.17
ESE,ESCO Technologies Inc,$268.41,$7B (Small),Yes,"282,520",1.16
ESS,Essex Property Trust Inc,$251.16,$16B (Mid),Yes,"677,240",0.73
ETN,Eaton Corporation PLC,$389.25,$154B (Large),Yes,"3,655,040",1.15
ETR,Entergy Corp,$105.07,$48B (Large),Yes,"3,380,380",0.63
EVR,Evercore Inc,$322.28,$13B (Mid),Yes,"708,500",1.58
EWBC,East West Bancorp Inc,$117.83,$16B (Mid),Yes,"924,850",0.88
EXAS,Exact Sciences Corp,$103.24,$20B (Mid),Yes,"2,337,210",1.41
EXE,Expand Energy Corp,$104.05,$25B (Mid),Yes,"3,534,450",0.47
EXP,Eagle Materials Inc,$235.11,$7B (Small),Yes,"573,790",1.33
EXPD,Expeditors International of Washington Inc,$146.50,$20B (Mid),Yes,"2,188,120",1.14
EXPE,Expedia Group Inc,$212.67,$26B (Mid),Yes,"4,123,660",1.42
EXR,Extra Space Storage Inc,$146.36,$31B (Mid),Yes,"1,470,510",1.24
FANG,Diamondback Energy Inc,$169.14,$48B (Large),Yes,"2,029,330",0.57
FCFS,Firstcash Holdings Inc,$181.89,$8B (Mid),Yes,"309,050",0.47
FCN,FTI Consulting Inc,$162.81,$5B (Small),Yes,"345,100",0.09
FDS,Factset Research Systems Inc,$205.79,$8B (Mid),Yes,"1,594,730",0.77
FDX,FedEx Corp,$374.72,$88B (Large),Yes,"2,400,880",1.29
FELE,Franklin Electric Co Inc,$108.94,$5B (Small),Yes,"417,370",1.04
FERG,Ferguson Enterprises Inc,$261.36,$51B (Large),Yes,"1,543,510",1.13
FFIV,F5 Inc,$273.93,$15B (Mid),Yes,"695,410",1.01
FICO,Fair Isaac Corp,"$1,344.74",$32B (Mid),Yes,"386,530",1.29
FIVE,Five Below Inc,$205.93,$11B (Mid),Yes,"915,590",1.11
FIX,Comfort Systems USA Inc,"$1,337.95",$47B (Large),Yes,"398,530",1.63
FLUT,Flutter Entertainment PLC,$125.17,$22B (Mid),Yes,"5,448,340",1.19
FMX,Fomento Economico Mexicano SAB de CV,$114.39,$23B (Mid),Yes,"468,120",0.41
FN,Fabrinet,$495.55,$18B (Mid),Yes,"934,390",1.03
FRT,Federal Realty Investment Trust,$104.80,$9B (Mid),Yes,"926,110",1.0
FSLR,First Solar Inc,$225.65,$24B (Mid),Yes,"2,367,200",1.62
FSS,Federal Signal Corp,$120.49,$7B (Small),Yes,"361,910",1.31
FTAI,FTAI Aviation Ltd,$279.85,$29B (Mid),Yes,"1,387,080",1.51
FUTU,Futu Holdings Ltd,$146.72,$14B (Mid),Yes,"1,954,920",0.38
GD,General Dynamics Corp,$347.64,$94B (Large),Yes,"1,448,140",0.4
GE,GE Aerospace,$315.41,$331B (Large),Yes,"5,328,550",1.39
GH,Guardant Health Inc,$104.85,$14B (Mid),Yes,"2,234,770",1.66
GILD,Gilead Sciences Inc,$154.98,$192B (Large),Yes,"8,522,460",0.37
GKOS,Glaukos Corp,$109.47,$6B (Small),Yes,"664,950",0.72
GL,Globe Life Inc,$144.25,$11B (Mid),Yes,"556,970",0.46
GLW,Corning Inc,$133.46,$115B (Large),Yes,"11,974,720",1.06
GNRC,Generac Holdings Inc,$224.45,$13B (Mid),Yes,"1,705,990",1.73
GOOGL,Alphabet Inc,$305.72,$2T (Large),Yes,"49,419,500",1.11
GPC,Genuine Parts Co,$147.16,$20B (Mid),Yes,"1,193,920",0.71
GPOR,Gulfport Energy Corp,$203.97,$4B (Small),Yes,"273,020",0.61
GRMN,Garmin Ltd,$214.74,$41B (Large),Yes,"1,026,350",0.98
GS,Goldman Sachs Group Inc,$905.14,$271B (Large),Yes,"2,748,760",1.32
GTLS,Chart Industries Inc,$206.77,$9B (Mid),Yes,"1,252,940",1.73
GVA,Granite Construction Inc,$130.93,$6B (Small),Yes,"725,040",1.31
GWRE,Guidewire Software Inc,$127.03,$11B (Mid),Yes,"2,040,990",1.08
GWW,WW Grainger Inc,"$1,131.42",$54B (Large),Yes,"441,600",1.1
H,Hyatt Hotels Corp,$165.39,$16B (Mid),Yes,"1,154,730",1.21
HAS,Hasbro Inc,$102.45,$14B (Mid),Yes,"3,051,660",0.51
