"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"CDP","COPT Defense Properties","$31.54","Yes","0.87","$4B (Small)","1,560,930"
"CE","Celanese Corp","$58.85","Yes","1.01","$6B (Small)","2,747,580"
"CECO","CECO Environmental Corp","$79.14","Yes","1.36","$3B (Small)","299,990"
"CELH","Celsius Holdings Inc","$44.39","Yes","0.92","$11B (Mid)","4,252,170"
"CENX","Century Aluminum Co","$46.04","Yes","2.17","$4B (Small)","2,258,470"
"CEPU","Central Puerto SA","$15.55","Yes","1.14","$2B (Small)","298,290"
"CFG","Citizens Financial Group Inc","$65.10","Yes","1.06","$28B (Mid)","5,871,910"
"CFLT","Confluent Inc","$30.56","Yes","0.95","$11B (Mid)","29,406,800"
"CG","Carlyle Group Inc","$54.49","Yes","2.05","$20B (Mid)","4,504,990"
"CGNX","Cognex Corp","$58.79","Yes","1.40","$10B (Mid)","3,216,690"
"CHDN","Churchill Downs Inc","$89.24","Yes","0.65","$6B (Small)","807,580"
"CHEF","Chefs' Warehouse Inc","$68.44","Yes","1.26","$3B (Small)","454,720"
"CHT","Chunghwa Telecom Co Ltd","$42.72","Yes","0.30","$33B (Mid)","250,920"
"CHWY","Chewy Inc","$24.23","Yes","1.62","$10B (Mid)","8,836,810"
"CIB","Grupo Cibest SA","$77.00","Yes","0.90","$9B (Mid)","423,870"
"CIFR","Cipher Mining Inc","$16.42","Yes","2.96","$6B (Small)","36,398,140"
"CLBT","Cellebrite DI Ltd","$14.64","Yes","1.29","$4B (Small)","2,626,090"
"CLF","Cleveland-Cliffs Inc","$10.38","Yes","2.00","$6B (Small)","25,269,570"
"CLMT","Calumet Inc","$28.61","Yes","1.18","$2B (Small)","1,386,430"
"CLSK","CleanSpark Inc","$9.31","Yes","3.53","$2B (Small)","32,204,220"
"CMC","Commercial Metals Co","$79.64","Yes","1.44","$9B (Mid)","1,171,370"
"CMCSA","Comcast Corp","$31.57","Yes","0.77","$114B (Large)","34,000,390"
"CMG","Chipotle Mexican Grill Inc","$36.30","Yes","1.01","$47B (Large)","24,521,010"
"CMS","CMS Energy Corp","$76.74","Yes","0.47","$24B (Mid)","3,537,100"
"CNA","CNA Financial Corp","$48.69","Yes","0.34","$13B (Mid)","476,030"
"CNC","Centene Corp","$40.58","Yes","0.51","$20B (Mid)","7,931,830"
"CNH","CNH Industrial NV","$12.75","Yes","1.23","$16B (Mid)","13,927,720"
"CNK","Cinemark Holdings Inc","$24.88","Yes","1.10","$3B (Small)","2,563,660"
"CNM","Core & Main Inc","$58.18","Yes","0.96","$11B (Mid)","2,292,280"
"CNO","CNO Financial Group Inc","$43.06","Yes","0.84","$4B (Small)","810,610"
"CNP","CenterPoint Energy Inc","$42.52","Yes","0.58","$28B (Mid)","5,886,270"
"CNQ","Canadian Natural Resources Ltd","$40.68","Yes","0.66","$85B (Large)","10,513,180"
"CNS","Cohen & Steers Inc","$66.66","Yes","1.25","$3B (Small)","278,800"
"CNTA","Centessa Pharmaceuticals PLC","$24.71","Yes","1.57","$4B (Small)","1,210,330"
"CNX","CNX Resources Corp","$40.60","Yes","0.67","$6B (Small)","2,601,510"
"COCO","Vita Coco Company Inc","$56.58","Yes","0.36","$3B (Small)","762,680"
"COGT","Cogent Biosciences Inc","$36.53","Yes","0.48","$6B (Small)","1,335,130"
"COLB","Columbia Banking System Inc","$31.49","Yes","0.55","$9B (Mid)","2,852,540"
