"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"TEL","TE Connectivity PLC","Yes","2,137,550","NYS","$68B (Large)","1.24","1.1%"
"TER","Teradyne Inc","Yes","2,862,270","NASDAQ","$31B (Mid)","1.83","3.7%"
"TEX","Terex Corp","Yes","1,362,600","NYS","$4B (Small)","1.65","7.8%"
"TGB","Taseko Mines Ltd","Yes","5,925,870","NYS","$2B (Micro)","1.28","2.0%"
"TGT","Target Corp","Yes","6,605,930","NYS","$44B (Large)","1.11","3.8%"
"TMC","TMC the metals company Inc","Yes","7,627,000","NASDAQ","$3B (Small)","1.83","6.2%"
"TMHC","Taylor Morrison Home Corp","Yes","1,170,260","NYS","$6B (Small)","1.58","5.4%"
"TOL","Toll Brothers Inc","Yes","1,696,460","NYS","$13B (Mid)","1.42","3.8%"
"TOST","Toast Inc","Yes","7,042,670","NYS","$21B (Mid)","1.92","4.3%"
"TPG","TPG Inc","Yes","1,926,600","NASDAQ","$24B (Mid)","1.48","2.4%"
"TPR","Tapestry Inc","Yes","2,981,390","NYS","$26B (Mid)","1.63","6.8%"
"TREX","Trex Company Inc","Yes","1,931,080","NYS","$4B (Small)","1.55","6.5%"
"TRMB","Trimble Inc","Yes","1,248,520","NASDAQ","$19B (Mid)","1.58","2.0%"
"TROW","T Rowe Price Group Inc","Yes","2,141,740","NASDAQ","$23B (Mid)","1.53","6.1%"
"TRU","TransUnion","Yes","1,941,880","NYS","$17B (Mid)","1.71","4.2%"
"TSLA","Tesla Inc","Yes","82,666,360","NASDAQ","$2T (Large)","1.81","2.1%"
"TT","Trane Technologies PLC","Yes","1,402,730","NYS","$86B (Large)","1.22","1.2%"
"TTI","Tetra Technologies Inc","Yes","2,401,650","NYS","$1B (Micro)","1.11","4.8%"
"TTMI","TTM Technologies Inc","Yes","2,201,390","NASDAQ","$7B (Small)","1.75","4.9%"
"TWLO","Twilio Inc","Yes","2,330,720","NYS","$21B (Mid)","1.30","3.7%"
"TWO","Two Harbors Investment Corp","Yes","4,401,980","NYS","$1B (Micro)","1.20","9.5%"
"U","Unity Software Inc","Yes","8,533,880","NYS","$20B (Mid)","2.04","5.7%"
"UAL","United Airlines Holdings Inc","Yes","5,386,890","NASDAQ","$37B (Mid)","1.30","3.9%"
"UBER","Uber Technologies Inc","Yes","23,490,430","NYS","$165B (Large)","1.21","2.5%"
"UDMY","Udemy Inc","Yes","5,893,430","NASDAQ","$862M (Micro)","1.69","3.4%"
"UEC","Uranium Energy Corp","Yes","10,543,810","NYS","$6B (Small)","1.24","9.4%"
"UGI","UGI Corp","Yes","2,407,820","NYS","$8B (Mid)","1.08","5.7%"
"UMC","United Microelectronics Corp","Yes","9,597,990","NYS","$20B (Mid)","1.01","2.0%"
"UNIT","Uniti Group Inc (Delaware)","Yes","3,005,280","NASDAQ","$2B (Micro)","1.44","4.6%"
"UP","Wheels Up Experience Inc","Yes","2,827,620","NYS","$477M (Micro)","2.34","1.7%"
"UPS","United Parcel Service Inc","Yes","5,633,590","NYS","$86B (Large)","1.08","2.3%"
"UPWK","Upwork Inc","Yes","2,955,410","NASDAQ","$3B (Small)","1.00","8.9%"
"USB","US Bancorp","Yes","9,483,080","NYS","$84B (Large)","1.08","1.2%"
"USFD","US Foods Holding Corp","Yes","2,060,760","NYS","$17B (Mid)","1.03","3.8%"
"UWMC","UWM Holdings Corp","Yes","14,018,230","NYS","$8B (Mid)","1.93","2.0%"
"VEEV","Veeva Systems Inc","Yes","2,097,640","NYS","$36B (Mid)","1.08","3.0%"
"VELO","Velo3D Inc","Yes","2,006,600","NASDAQ","$239M (Micro)","1.90","6.6%"
"VERI","Veritone Inc","Yes","3,129,930","NASDAQ","$460M (Micro)","2.03","7.7%"
"VFC","VF Corp","Yes","6,743,370","NYS","$7B (Small)","1.67","7.0%"
"VFF","Village Farms International Inc","Yes","4,069,090","NASDAQ","$470M (Micro)","1.25","4.4%"
"VIR","Vir Biotechnology Inc","Yes","1,761,500","NASDAQ","$801M (Micro)","1.40","7.9%"
"VLY","Valley National Bancorp","Yes","7,128,380","NASDAQ","$7B (Small)","1.09","5.6%"
"VMC","Vulcan Materials Co","Yes","1,046,400","NYS","$39B (Mid)","1.06","3.1%"
"VNO","Vornado Realty Trust","Yes","1,691,320","NYS","$6B (Small)","1.51","3.7%"
"VNT","Vontier Corp","Yes","1,398,330","NYS","$5B (Small)","1.27","3.3%"
"VOR","Vor Biopharma Inc","Yes","6,317,370","NASDAQ","$444M (Micro)","1.98","1.8%"
"VRA","Vera Bradley Inc","Yes","1,761,920","NASDAQ","$66M (Micro)","1.80","4.7%"
"VRT","Vertiv Holdings Co","Yes","8,495,510","NYS","$61B (Large)","2.08","2.1%"
"VSH","Vishay Intertechnology Inc","Yes","1,407,040","NYS","$2B (Micro)","1.11","8.1%"
"VST","Vistra Corp","Yes","5,357,230","NYS","$55B (Large)","1.42","2.1%"
"VTYX","Ventyx Biosciences Inc","Yes","1,665,660","NASDAQ","$624M (Micro)","1.28","8.6%"
"VVV","Valvoline Inc","Yes","3,489,540","NYS","$4B (Small)","1.18","8.0%"
"WAL","Western Alliance Bancorp","Yes","1,015,550","NYS","$10B (Mid)","1.32","3.9%"
"WBD","Warner Bros Discovery Inc","Yes","94,319,050","NASDAQ","$69B (Large)","1.56","3.2%"
"WBS","Webster Financial Corp","Yes","1,628,800","NYS","$10B (Mid)","1.03","2.6%"
"WDAY","Workday Inc","Yes","2,843,990","NASDAQ","$57B (Large)","1.14","3.8%"
"WDC","Western Digital Corp","Yes","6,638,940","NASDAQ","$62B (Large)","1.78","9.8%"
"WEAV","Weave Communications Inc","Yes","1,368,900","NYS","$541M (Micro)","1.69","5.0%"
"WFC","Wells Fargo & Co","Yes","14,587,650","NYS","$292B (Large)","1.08","1.3%"
"WIT","Wipro Ltd","Yes","7,253,000","NYS","$32B (Mid)","1.02","1.2%"
"WIX","Wix.Com Ltd","Yes","1,220,400","NASDAQ","$6B (Small)","1.41","7.8%"
"WKC","World Kinect Corp","Yes","1,284,120","NYS","$1B (Micro)","1.13","8.0%"
"WMG","Warner Music Group Corp","Yes","3,258,810","NASDAQ","$15B (Mid)","1.24","1.1%"
"WOOF","Petco Health and Wellness Company Inc","Yes","1,836,160","NASDAQ","$932M (Micro)","1.71","5.8%"
"WRBY","Warby Parker Inc","Yes","8,522,550","NYS","$3B (Small)","1.99","9.0%"
"WSM","Williams-Sonoma Inc","Yes","1,277,530","NYS","$23B (Mid)","1.57","5.8%"
"WWR","Westwater Resources Inc","Yes","2,048,460","NYS","$103M (Micro)","1.47","5.9%"
"WWW","Wolverine World Wide Inc","Yes","1,529,810","NYS","$2B (Micro)","1.92","8.7%"
"WY","Weyerhaeuser Co","Yes","9,056,790","NYS","$17B (Mid)","1.03","2.1%"
"WYNN","Wynn Resorts Ltd","Yes","1,296,820","NASDAQ","$13B (Mid)","1.07","4.2%"
"XP","XP Inc","Yes","7,883,820","NASDAQ","$8B (Mid)","1.21","3.8%"
"XPEV","Xpeng Inc","Yes","7,250,670","NYS","$19B (Mid)","1.15","4.0%"
"XPO","XPO Inc","Yes","1,728,390","NYS","$16B (Mid)","2.06","8.0%"
"XPRO","Expro Group Holdings NV","Yes","1,090,260","NYS","$1B (Micro)","1.02","5.1%"
"XRAY","DENTSPLY SIRONA Inc","Yes","3,685,120","NASDAQ","$2B (Small)","1.00","6.7%"
"XYL","Xylem Inc","Yes","1,404,150","NYS","$34B (Mid)","1.17","1.3%"
"XYZ","Block Inc","Yes","5,848,810","NYS","$40B (Mid)","2.66","3.3%"
"YPF","YPF SA","Yes","1,230,690","NYS","$14B (Mid)","1.48","2.5%"
"Z","Zillow Group Inc","Yes","3,399,020","NASDAQ","$13B (Mid)","2.08","7.6%"
"ZETA","Zeta Global Holdings Corp","Yes","4,771,850","NYS","$4B (Small)","1.28","8.9%"
"ZNTL","Zentalis Pharmaceuticals Inc","Yes","1,022,420","NASDAQ","$101M (Micro)","1.74","7.0%"
"ZS","Zscaler Inc","Yes","1,753,970","NASDAQ","$37B (Mid)","1.02","3.5%"
