"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"CARR","Carrier Global Corp","Yes","9,764,510","NYS","$45B (Large)","1.31","1.6%"
"CAT","Caterpillar Inc","Yes","2,814,780","NYS","$270B (Large)","1.57","1.4%"
"CATX","Perspective Therapeutics Inc","Yes","1,771,340","NYS","$204M (Micro)","1.19","9.0%"
"CBRE","CBRE Group Inc","Yes","1,584,810","NYS","$48B (Large)","1.34","1.2%"
"CC","Chemours Co","Yes","2,368,660","NYS","$2B (Micro)","1.60","9.1%"
"CCCC","C4 Therapeutics Inc","Yes","2,238,020","NASDAQ","$197M (Micro)","2.95","5.0%"
"CCL","Carnival Corp","Yes","18,718,270","NYS","$36B (Mid)","2.51","4.7%"
"CCO","Clear Channel Outdoor Holdings Inc","Yes","2,546,820","NYS","$1B (Micro)","2.27","3.2%"
"CDE","Coeur Mining Inc","Yes","17,732,410","NYS","$12B (Mid)","1.24","6.4%"
"CDNS","Cadence Design Systems Inc","Yes","1,442,140","NASDAQ","$86B (Large)","1.02","1.5%"
"CDW","CDW Corp","Yes","1,528,880","NASDAQ","$18B (Mid)","1.07","3.4%"
"CDXS","Codexis Inc","Yes","1,049,760","NASDAQ","$150M (Micro)","2.44","5.4%"
"CE","Celanese Corp","Yes","2,201,880","NYS","$5B (Small)","1.11","7.3%"
"CEG","Constellation Energy Corp","Yes","2,720,410","NASDAQ","$111B (Large)","1.15","2.0%"
"CENX","Century Aluminum Co","Yes","1,764,240","NASDAQ","$3B (Small)","2.26","8.3%"
"CERS","Cerus Corp","Yes","1,871,940","NASDAQ","$401M (Micro)","1.49","3.0%"
"CFG","Citizens Financial Group Inc","Yes","6,163,970","NYS","$25B (Mid)","1.08","3.0%"
"CG","Carlyle Group Inc","Yes","2,906,400","NASDAQ","$21B (Mid)","2.03","3.6%"
"CGNX","Cognex Corp","Yes","2,152,710","NASDAQ","$6B (Small)","1.52","4.2%"
"CHGG","Chegg Inc","Yes","1,429,840","NYS","$104M (Micro)","1.95","5.6%"
"CHWY","Chewy Inc","Yes","10,811,370","NYS","$13B (Mid)","1.57","3.1%"
"CIEN","Ciena Corp","Yes","3,732,650","NYS","$32B (Mid)","1.14","4.1%"
"CLBT","Cellebrite DI Ltd","Yes","1,122,730","NASDAQ","$5B (Small)","1.26","3.1%"
"CLOV","Clover Health Investments Corp","Yes","3,897,200","NASDAQ","$1B (Micro)","2.11","8.4%"
"CLS","Celestica Inc","Yes","2,847,650","NYS","$34B (Mid)","1.90","2.9%"
"CLVT","Clarivate PLC","Yes","6,434,370","NYS","$2B (Small)","1.51","6.4%"
"CM","Canadian Imperial Bank of Commerce","Yes","1,003,770","NYS","$86B (Large)","1.03","1.1%"
"CMA","Comerica Inc","Yes","1,713,510","NYS","$11B (Mid)","1.04","5.7%"
"CMC","Commercial Metals Co","Yes","1,163,640","NYS","$8B (Mid)","1.48","3.9%"
"CMPS","Compass Pathways PLC","Yes","1,450,360","NASDAQ","$612M (Micro)","1.93","6.5%"
"CMPX","Compass Therapeutics Inc.","Yes","1,487,810","NASDAQ","$896M (Micro)","1.28","9.3%"
"CNDT","Conduent Inc","Yes","1,067,790","NASDAQ","$315M (Micro)","1.30","2.5%"
"CNH","CNH Industrial NV","Yes","12,970,920","NYS","$12B (Mid)","1.29","3.8%"
"CNTA","Centessa Pharmaceuticals PLC","Yes","1,558,180","NASDAQ","$4B (Small)","1.58","4.1%"
"CODI","Compass Diversified Holdings","Yes","2,328,530","NYS","$360M (Micro)","1.08","6.0%"
"CODX","Co-Diagnostics Inc","Yes","1,698,230","NASDAQ","$17M (Micro)","1.24","2.8%"
"COF","Capital One Financial Corp","Yes","3,818,490","NYS","$155B (Large)","1.12","1.4%"
"COHR","Coherent Corp","Yes","5,016,800","NYS","$29B (Mid)","1.83","3.9%"
"COIN","Coinbase Global Inc (Pre-Reincorpoartion)","Yes","7,946,970","NASDAQ","$66B (Large)","3.71","5.8%"
"COMM","CommScope Holding Company Inc","Yes","3,916,530","NASDAQ","$4B (Small)","2.41","6.6%"
"COMP","Compass Inc","Yes","11,465,450","NYS","$6B (Small)","2.52","9.0%"
"COO","Cooper Companies Inc","Yes","3,959,500","NASDAQ","$16B (Mid)","1.02","3.5%"
"COST","Costco Wholesale Corp","Yes","3,128,190","NASDAQ","$380B (Large)","1.02","1.6%"
"COUR","Coursera Inc","Yes","4,949,590","NYS","$1B (Micro)","1.36","4.8%"
"CPNG","Coupang Inc","Yes","17,173,620","NYS","$42B (Large)","1.22","1.3%"
"CPRI","Capri Holdings Ltd","Yes","2,976,870","NYS","$3B (Small)","1.44","9.0%"
"CPRT","Copart Inc","Yes","8,539,090","NASDAQ","$38B (Mid)","1.10","3.0%"
"CRDO","Credo Technology Group Holding Ltd","Yes","6,066,560","NASDAQ","$27B (Mid)","2.69","4.5%"
"CRGY","Crescent Energy Co","Yes","6,432,780","NYS","$3B (Small)","1.22","7.3%"
"CRH","CRH PLC","Yes","10,311,030","NYS","$83B (Large)","1.19","1.5%"
"CRM","Salesforce Inc","Yes","8,572,900","NYS","$244B (Large)","1.25","1.9%"
"CRS","Carpenter Technology Corp","Yes","1,224,940","NYS","$16B (Mid)","1.29","4.9%"
"CRSR","Corsair Gaming Inc","Yes","1,007,710","NASDAQ","$654M (Micro)","1.52","3.0%"
"CRWD","CrowdStrike Holdings Inc","Yes","2,146,020","NASDAQ","$121B (Large)","1.03","2.7%"
"CSTM","Constellium SE","Yes","1,340,130","NYS","$3B (Small)","1.52","2.4%"
"CSX","CSX Corp","Yes","11,320,790","NASDAQ","$68B (Large)","1.29","1.6%"
"CTKB","Cytek Biosciences Inc","Yes","1,347,250","NASDAQ","$633M (Micro)","1.32","5.2%"
"CUBE","CubeSmart","Yes","2,273,530","NYS","$8B (Mid)","1.12","2.3%"
"CUZ","Cousins Properties Inc","Yes","1,574,400","NYS","$4B (Small)","1.21","5.3%"
"CVI","CVR Energy Inc","Yes","1,116,190","NYS","$3B (Small)","1.14","5.4%"
"CVNA","Carvana Co","Yes","5,351,380","NYS","$98B (Large)","3.51","5.3%"
"CWK","Cushman & Wakefield Ltd","Yes","2,290,150","NYS","$4B (Small)","1.48","4.5%"
"CYH","Community Health Systems Inc","Yes","1,549,600","NYS","$452M (Micro)","2.05","7.1%"
"DAL","Delta Air Lines Inc","Yes","8,501,450","NYS","$46B (Large)","1.37","2.5%"
"DAN","Dana Inc","Yes","1,928,800","NYS","$3B (Small)","2.11","4.5%"
"DAR","Darling Ingredients Inc","Yes","2,056,510","NYS","$5B (Small)","1.26","7.8%"
"DASH","DoorDash Inc","Yes","4,659,460","NASDAQ","$101B (Large)","1.68","3.0%"
"DAVA","Endava PLC","Yes","1,317,630","NYS","$372M (Micro)","1.23","4.8%"
"DAY","Dayforce Inc","Yes","4,132,090","NYS","$11B (Mid)","1.18","2.8%"
"DBRG","DigitalBridge Group Inc","Yes","10,738,320","NYS","$2B (Small)","1.68","5.8%"
"DC","Dakota Gold Corp","Yes","1,084,970","NYS","$659M (Micro)","1.05","2.7%"
"DD","Dupont De Nemours Inc","Yes","4,696,860","NYS","$17B (Mid)","1.05","5.9%"
"DDOG","Datadog Inc","Yes","3,790,310","NASDAQ","$49B (Large)","1.27","2.8%"
"DE","Deere & Co","Yes","1,568,680","NYS","$127B (Large)","1.00","1.6%"
"DECK","Deckers Outdoor Corp","Yes","3,178,640","NYS","$14B (Mid)","1.14","3.4%"
"DELL","Dell Technologies Inc","Yes","5,736,270","NYS","$84B (Large)","1.03","2.9%"
"DENN","Denny's Corp","Yes","1,884,390","NASDAQ","$320M (Micro)","1.37","8.5%"
"DHC","Diversified Healthcare Trust","Yes","1,021,340","NASDAQ","$1B (Micro)","2.40","2.3%"
"DHI","D.R. Horton Inc","Yes","3,044,060","NYS","$43B (Large)","1.42","4.1%"
"DIS","Walt Disney Co","Yes","12,549,010","NYS","$199B (Large)","1.43","1.1%"
"DJT","Trump Media & Technology Group Corp","Yes","13,325,860","NASDAQ","$4B (Small)","4.58","5.0%"
"DKNG","Draftkings Inc","Yes","10,410,280","NASDAQ","$17B (Mid)","1.62","6.9%"
"DKS","DICK'S Sporting Goods Inc","Yes","1,462,360","NYS","$19B (Mid)","1.19","5.1%"
