"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"BL","BlackLine Inc","$38.61","Yes","0.90","$2B (Small)"
"BLCO","Bausch + Lomb Corp","$17.03","Yes","0.60","$6B (Small)"
"BLKB","Blackbaud Inc","$49.08","Yes","1.12","$2B (Small)"
"BMA","Banco Macro SA","$86.59","Yes","1.54","$5B (Small)"
"BMNR","Bitmine Immersion Technologies Inc","$20.96","Yes","1.30","$10B (Mid)"
"BMRN","BioMarin Pharmaceutical Inc","$59.87","Yes","0.25","$12B (Mid)"
"BMY","Bristol-Myers Squibb Co","$60.74","Yes","0.27","$124B (Large)"
"BNL","Broadstone Net Lease Inc","$19.64","Yes","1.01","$4B (Small)"
"BNS","Bank of Nova Scotia","$75.70","Yes","1.08","$93B (Large)"
"BOH","Bank of Hawaii Corp","$78.20","Yes","0.72","$3B (Small)"
"BOX","Box Inc","$23.19","Yes","0.81","$3B (Small)"
"BP","BP PLC","$37.66","Yes","0.31","$99B (Large)"
"BRKR","Bruker Corp","$36.51","Yes","1.21","$6B (Small)"
"BRO","Brown & Brown Inc","$68.47","Yes","0.79","$23B (Mid)"
"BROS","Dutch Bros Inc","$53.20","Yes","2.56","$9B (Mid)"
"BRSL","Brightstar Lottery PLC","$13.45","Yes","1.06","$3B (Small)"
"BRX","Brixmor Property Group Inc","$29.29","Yes","1.05","$9B (Mid)"
"BSAC","Banco Santander Chile","$35.65","Yes","0.60","$17B (Mid)"
"BSBR","Banco Santander Brasil SA","$6.59","Yes","0.61","$25B (Mid)"
"BSM","Black Stone Minerals LP","$15.20","Yes","0.16","$3B (Small)"
"BSX","Boston Scientific Corp","$74.73","Yes","0.71","$111B (Large)"
"BSY","Bentley Systems Inc","$34.10","Yes","1.20","$10B (Mid)"
"BTI","British American Tobacco plc","$59.50","Yes","0.32","$129B (Large)"
"BTU","Peabody Energy Corp","$34.45","Yes","0.51","$4B (Small)"
"BUSE","First Busey Corp","$26.55","Yes","0.74","$2B (Small)"
"BVN","Compania de Minas Buenaventura SAA","$37.96","Yes","0.30","$10B (Mid)"
"BWA","Borgwarner Inc","$62.80","Yes","0.99","$13B (Mid)"
"BWIN","Baldwin Insurance Group Inc","$16.50","Yes","1.37","$2B (Small)"
"BXMT","Blackstone Mortgage Trust Inc","$19.54","Yes","1.07","$3B (Small)"
"BXP","BXP Inc","$61.49","Yes","1.03","$10B (Mid)"
"BXSL","Blackstone Secured Lending Fund","$24.62","Yes","0.45","$6B (Small)"
"BYD","Boyd Gaming Corp","$81.99","Yes","1.21","$6B (Small)"
"BZ","Kanzhun Ltd","$17.32","Yes","0.43","$8B (Mid)"
"CAAP","Corporacion America Airports SA","$27.96","Yes","0.78","$5B (Small)"
"CAE","CAE Inc","$30.22","Yes","1.10","$10B (Mid)"
"CAKE","Cheesecake Factory Inc","$58.67","Yes","0.98","$3B (Small)"
"CALM","Cal-Maine Foods Inc","$83.44","Yes","0.25","$4B (Small)"
"CALX","Calix Inc","$53.32","Yes","1.48","$4B (Small)"
"CALY","Callaway Golf Co","$12.59","Yes","0.95","$2B (Small)"
"CARG","CarGurus Inc","$27.34","Yes","1.38","$3B (Small)"
"CARR","Carrier Global Corp","$65.40","Yes","1.31","$55B (Large)"
