"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"EXR","Extra Space Storage Inc","Yes","1,456,540","NYS","$28B (Mid)","1.27"
"F","Ford Motor Co","Yes","54,650,210","NYS","$54B (Large)","1.62"
"FCX","Freeport-McMoRan Inc","Yes","16,344,890","NYS","$71B (Large)","1.44"
"FDX","FedEx Corp","Yes","1,635,760","NYS","$68B (Large)","1.35"
"FERG","Ferguson Enterprises Inc","Yes","2,038,220","NYS","$45B (Large)","1.14"
"FIVE","Five Below Inc","Yes","1,297,450","NASDAQ","$10B (Mid)","1.12"
"FLEX","Flex Ltd","Yes","9,336,890","NASDAQ","$24B (Mid)","1.23"
"FLS","Flowserve Corp","Yes","1,358,040","NYS","$9B (Mid)","1.31"
"FLUT","Flutter Entertainment PLC","Yes","2,404,210","NYS","$39B (Mid)","1.15"
"FNF","Fidelity National Financial Inc","Yes","1,597,130","NYS","$15B (Mid)","1.02"
"FROG","Jfrog Ltd","Yes","2,645,500","NASDAQ","$8B (Mid)","1.12"
"FSLR","First Solar Inc","Yes","1,952,490","NASDAQ","$29B (Mid)","1.60"
"FTNT","Fortinet Inc","Yes","6,013,430","NASDAQ","$60B (Large)","1.07"
"FTV","Fortive Corp","Yes","2,931,060","NYS","$17B (Mid)","1.12"
"GAP","Gap Inc","Yes","8,185,420","NYS","$10B (Mid)","2.28"
"GE","GE Aerospace","Yes","5,464,560","NYS","$324B (Large)","1.42"
"GEN","Gen Digital Inc","Yes","4,891,190","NASDAQ","$17B (Mid)","1.07"
"GFS","GlobalFoundries Inc","Yes","3,561,990","NASDAQ","$20B (Mid)","1.48"
"GH","Guardant Health Inc","Yes","2,206,570","NASDAQ","$13B (Mid)","1.60"
"GIL","Gildan Activewear Inc","Yes","1,465,890","NYS","$12B (Mid)","1.07"
"GLW","Corning Inc","Yes","7,303,650","NYS","$75B (Large)","1.12"
"GLXY","Galaxy Digital Inc","Yes","7,481,350","NASDAQ","$9B (Mid)","3.88"
"GM","General Motors Co","Yes","10,360,930","NYS","$77B (Large)","1.30"
"GMED","Globus Medical Inc","Yes","1,518,320","NYS","$12B (Mid)","1.07"
"GNRC","Generac Holdings Inc","Yes","1,014,070","NYS","$8B (Mid)","1.83"
"GOOGL","Alphabet Inc","Yes","34,186,330","NASDAQ","$2T (Large)","1.09"
"GRMN","Garmin Ltd","Yes","1,052,310","NYS","$39B (Mid)","1.01"
"GS","Goldman Sachs Group Inc","Yes","2,300,080","NYS","$268B (Large)","1.31"
"GWRE","Guidewire Software Inc","Yes","1,446,690","NYS","$17B (Mid)","1.09"
"HCA","HCA Healthcare Inc","Yes","1,258,020","NYS","$108B (Large)","1.37"
"HD","Home Depot Inc","Yes","5,164,820","NYS","$343B (Large)","1.07"
"HIMS","Hims & Hers Health Inc","Yes","12,637,080","NYS","$8B (Mid)","2.37"
"HL","Hecla Mining Co","Yes","19,812,420","NYS","$13B (Mid)","1.26"
"HLT","Hilton Worldwide Holdings Inc","Yes","1,793,130","NYS","$68B (Large)","1.15"
"HOOD","Robinhood Markets Inc","Yes","26,905,250","NASDAQ","$109B (Large)","2.45"
"HPE","Hewlett Packard Enterprise Co","Yes","35,119,750","NYS","$33B (Mid)","1.32"
"HPQ","HP Inc","Yes","12,433,830","NYS","$21B (Mid)","1.21"
"HST","Host Hotels & Resorts Inc","Yes","8,430,530","NASDAQ","$13B (Mid)","1.18"
"HWM","Howmet Aerospace Inc","Yes","2,517,830","NYS","$82B (Large)","1.30"
"IAG","IAMGOLD Corp","Yes","6,867,530","NYS","$10B (Mid)","1.38"
"IBKR","Interactive Brokers Group Inc","Yes","3,704,160","NASDAQ","$109B (Large)","1.24"
"ICE","Intercontinental Exchange Inc","Yes","3,751,130","NYS","$91B (Large)","1.03"
"IFF","International Flavors & Fragrances Inc","Yes","2,604,670","NYS","$17B (Mid)","1.06"
"ILMN","Illumina Inc","Yes","1,655,590","NASDAQ","$21B (Mid)","1.41"
"INSM","Insmed Inc","Yes","4,043,750","NASDAQ","$37B (Mid)","1.11"
"INTC","Intel Corp","Yes","71,737,800","NASDAQ","$176B (Large)","1.36"
"INTU","Intuit Inc","Yes","1,973,660","NASDAQ","$187B (Large)","1.25"
"IONQ","IONQ Inc","Yes","17,072,070","NYS","$17B (Mid)","2.63"
"IOT","Samsara Inc","Yes","8,344,690","NYS","$22B (Mid)","1.61"
"IP","International Paper Co","Yes","4,856,210","NYS","$20B (Mid)","1.09"
"IQV","IQVIA Holdings Inc","Yes","1,307,460","NYS","$38B (Mid)","1.37"
"IR","Ingersoll Rand Inc","Yes","2,758,300","NYS","$31B (Mid)","1.33"
"IREN","IREN Ltd","Yes","34,625,950","NASDAQ","$12B (Mid)","4.29"
"IRM","Iron Mountain Inc","Yes","2,284,530","NYS","$24B (Mid)","1.16"
"ISRG","Intuitive Surgical Inc","Yes","1,701,850","NASDAQ","$203B (Large)","1.67"
"IT","Gartner Inc","Yes","1,009,550","NYS","$18B (Mid)","1.06"
"ITT","ITT Inc","Yes","1,603,790","NYS","$15B (Mid)","1.37"
"ITW","Illinois Tool Works Inc","Yes","1,167,420","NYS","$73B (Large)","1.16"
"IVZ","Invesco Ltd","Yes","5,763,280","NYS","$12B (Mid)","1.61"
"JBHT","J B Hunt Transport Services Inc","Yes","1,221,380","NASDAQ","$19B (Mid)","1.25"
"JBL","Jabil Inc","Yes","1,781,210","NYS","$24B (Mid)","1.25"
"JCI","Johnson Controls International PLC","Yes","5,975,030","NYS","$73B (Large)","1.42"
"JEF","Jefferies Financial Group Inc","Yes","1,793,600","NYS","$13B (Mid)","1.50"
"JHX","James Hardie Industries PLC","Yes","5,504,730","NYS","$12B (Mid)","1.80"
"JOBY","Joby Aviation Inc","Yes","16,114,680","NYS","$13B (Mid)","2.55"
"JPM","JPMorgan Chase & Co","Yes","10,892,320","NYS","$872B (Large)","1.07"
"KEY","KeyCorp","Yes","21,415,260","NYS","$23B (Mid)","1.06"
"KEYS","Keysight Technologies Inc","Yes","1,172,520","NYS","$35B (Mid)","1.18"
"KIM","Kimco Realty Corp","Yes","4,333,190","NYS","$14B (Mid)","1.06"
"KKR","KKR & Co Inc","Yes","4,992,210","NYS","$116B (Large)","1.98"
"KNX","Knight-Swift Transportation Holdings Inc","Yes","3,823,500","NYS","$9B (Mid)","1.14"
"KTOS","Kratos Defense and Security Solutions Inc","Yes","1,851,590","NASDAQ","$13B (Mid)","1.10"
"LEN","Lennar Corp","Yes","5,026,980","NYS","$24B (Mid)","1.45"
"LEVI","Levi Strauss & Co","Yes","1,806,740","NYS","$8B (Mid)","1.32"
"LITE","Lumentum Holdings Inc","Yes","4,466,280","NASDAQ","$26B (Mid)","1.52"
"LNC","Lincoln National Corp","Yes","1,813,590","NYS","$9B (Mid)","1.30"
